Sale_ID,Date,Product_ID,Customer_ID,Customer_Type,Quantity,Unit_Price,Cost_Price,Revenue,Cost,Profit,Profit Margin,Month
S001,2025-01-03,P001,C003,Wholesale,6,47000,42000,282000,252000,30000,10.64%,2025-01
S002,2025-01-05,P004,C001,Retail,3,3800,3200,11400,9600,1800,15.79%,2025-01
S003,2025-01-07,P002,C005,Wholesale,5,43000,38000,215000,190000,25000,11.63%,2025-01
S004,2025-01-10,P006,C004,Retail,10,1300,900,13000,9000,4000,30.77%,2025-01
S005,2025-01-12,P007,C002,Retail,4,3000,2200,12000,8800,3200,26.67%,2025-01
S006,2025-01-15,P003,C001,Retail,2,11000,9500,22000,19000,3000,13.64%,2025-01
S007,2025-01-18,P001,C005,Wholesale,7,47000,42000,329000,294000,35000,10.64%,2025-01
S008,2025-01-22,P008,C004,Retail,6,1800,1200,10800,7200,3600,33.33%,2025-01
S009,2025-01-25,P005,C002,Retail,5,3500,2800,17500,14000,3500,20.00%,2025-01
S010,2025-01-28,P004,C003,Wholesale,8,3800,3200,30400,25600,4800,15.79%,2025-01
S011,2025-02-02,P002,C001,Retail,3,43000,38000,129000,114000,15000,11.63%,2025-02
S012,2025-02-06,P006,C002,Retail,12,1300,900,15600,10800,4800,30.77%,2025-02
S013,2025-02-09,P003,C003,Wholesale,9,11000,9500,99000,85500,13500,13.64%,2025-02
S014,2025-02-12,P007,C004,Retail,4,3000,2200,12000,8800,3200,26.67%,2025-02
S015,2025-02-15,P001,C005,Wholesale,10,47000,42000,470000,420000,50000,10.64%,2025-02
S016,2025-02-18,P008,C001,Retail,5,1800,1200,9000,6000,3000,33.33%,2025-02
S017,2025-02-22,P005,C003,Wholesale,7,3500,2800,24500,19600,4900,20.00%,2025-02
S018,2025-02-26,P004,C002,Retail,4,3800,3200,15200,12800,2400,15.79%,2025-02
S019,2025-03-01,P002,C005,Wholesale,8,43000,38000,344000,304000,40000,11.63%,2025-03
S020,2025-03-04,P006,C001,Retail,6,1300,900,7800,5400,2400,30.77%,2025-03
S021,2025-03-08,P003,C004,Retail,3,11000,9500,33000,28500,4500,13.64%,2025-03
S022,2025-03-12,P001,C003,Wholesale,9,47000,42000,423000,378000,45000,10.64%,2025-03
S023,2025-03-18,P007,C002,Retail,5,3000,2200,15000,11000,4000,26.67%,2025-03
S024,2025-03-22,P008,C005,Wholesale,7,1800,1200,12600,8400,4200,33.33%,2025-03
S025,2025-03-28,P005,C004,Retail,4,3500,2800,14000,11200,2800,20.00%,2025-03
